"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TranscieverClass"
"40921",368014910,"2019-01-01T00:07:14",17.93696,-66.15605,0,-144.2,511,"","","",NA,5,NA,NA,NA,NA,"A"
"41591",338098422,"2019-01-01T00:07:21",18.28619,-65.63277,0,-127.2,511,"EMPTY POCKET","","",37,NA,NA,NA,NA,NA,"B"
"42063",367529160,"2019-01-01T00:07:26",18.44826,-66.08965,4.3,-195.1,511,"HANDY THREE","","WDG3740",31,0,21,NA,NA,52,"A"
"42129",319089300,"2019-01-01T00:07:21",18.45982,-66.09013,0,29.3,276,"HATT MILL","IMO9642112","ZGFG3",37,5,46,NA,NA,NA,"A"
"42476",367574560,"2019-01-01T00:07:30",18.28671,-65.63244,0,-161.3,511,"GABEA","","WDG8155",37,NA,20,NA,NA,NA,"B"
"42789",338142008,"2019-01-01T00:07:34",18.3041,-65.29641,0.3,174,511,"WHISKEY HOTEL","IMO0000000","WDG6156",37,NA,27,8,NA,NA,"B"
"42878",338536000,"2019-01-01T00:08:13",18.33532,-65.63117,0,-147.7,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"43042",368237000,"2019-01-01T00:07:42",18.27933,-65.35217,15.6,70.7,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"43359",366995010,"2019-01-01T00:08:08",18.44773,-66.09108,0,-136.9,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"43582",366722810,"2019-01-01T00:07:48",18.45991,-66.088,0,163.2,511,"VAYPE","","WCW7684",37,NA,15,4,NA,NA,"B"
"43606",338071607,"2019-01-01T00:08:11",18.46067,-66.09095,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"43778",366029970,"2019-01-01T00:08:32",18.46113,-66.09346,0,-84.8,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"43779",563545000,"2019-01-01T00:08:32",18.51996,-66.12989,8.8,2.4,359,"MINERVA","IMO9694426","9V3400",NA,0,188,NA,NA,NA,"B"
"43794",338138014,"2019-01-01T00:07:48",18.45954,-66.08821,0,26.5,511,"ANAMARINA","","",37,NA,19,NA,NA,NA,"B"
"43879",367128950,"2019-01-01T00:08:32",18.45031,-66.10121,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"43936",246506000,"2019-01-01T00:07:55",18.46285,-66.11035,0,-56.5,353,"VEENDAM","IMO9102992","PHEO",60,5,219,30,7.7,69,"A"
"44083",338238828,"2019-01-01T00:08:35",17.95492,-66.29216,0.1,-49.6,511,"SWEET KARMA","IMO0000000","",37,NA,13,4,NA,NA,"B"
"44136",367433610,"2019-01-01T00:07:57",18.28737,-65.63236,0,-162.2,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"44389",367618240,"2019-01-01T00:08:41",18.20632,-65.61211,14.9,137.7,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"44553",367396880,"2019-01-01T00:08:02",17.93669,-66.15604,0,-49.6,511,"PROASSIST I","IMO8851041","WDE7727",31,5,33,10,NA,NA,"A"
"44743",367515760,"2019-01-01T00:08:04",18.44812,-66.08941,0,-143.5,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"45079",368020590,"2019-01-01T00:08:08",18.30511,-65.29882,0.1,-107.4,511,"LULU","IMO0000000","WDJ8864",36,NA,16,5,NA,NA,"B"
"45199",338760000,"2019-01-01T00:07:39",18.43525,-66.09501,0,-188.5,58,"ISLA BELLA","IMO9680841","WTOI",70,5,233,32,10.4,NA,"A"
"46111",377911000,"2019-01-01T00:08:15",17.91325,-65.73306,11.8,-155.4,244,"TROPIC PALM","IMO7625964","J8PB",70,0,100,21,4.7,70,"B"
"46305",368237000,"2019-01-01T00:08:59",18.2812,-65.34659,15.7,74.3,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"A"
"46489",367307990,"2019-01-01T00:08:16",17.98426,-65.78642,6,-183.5,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"46521",367719070,"2019-01-01T00:08:09",18.28749,-65.63335,0.1,-60.9,511,"CHATEAU DU MER","","WDI6475",37,NA,NA,NA,NA,NA,"B"
"46670",367649980,"2019-01-01T00:08:21",18.28743,-65.63307,0,-188.2,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"47029",367730640,"2019-01-01T00:08:25",18.2871,-65.63304,0.1,83.8,511,"STELLA","","WDI7637",37,NA,NA,NA,NA,NA,"B"
"47428",235115017,"2019-01-01T00:08:30",18.0787,-65.79699,0.1,93.1,511,"ZIGZAG DE VILLENEUVE","","2JDM3",36,NA,NA,NA,NA,NA,"B"
"47681",316015468,"2019-01-01T00:08:17",18.45864,-66.09132,0.2,-188.2,511,"GRONINGER","","CHA2001",36,NA,NA,NA,NA,NA,"B"
"47945",367529160,"2019-01-01T00:08:36",18.4463,-66.09116,8.6,-189.4,511,"HANDY THREE","","WDG3740",31,0,21,NA,NA,52,"B"
"48168",368028920,"2019-01-01T00:08:40",17.88126,-65.03716,8.1,158.9,153,"SKY","IMO0000000","WDJ9741",36,NA,18,4,NA,NA,"B"
"48197",338173000,"2019-01-01T00:08:41",18.22956,-65.61983,0,-121.3,511,"MR CADE","IMO9307774","WDH4027",60,5,49,9,1.9,NA,"A"
"48255",339758000,"2019-01-01T00:09:16",18.45892,-66.09025,0,-49.6,511,"","","",NA,5,NA,NA,NA,NA,"A"
"48724",367774870,"2019-01-01T00:08:46",18.30294,-65.29843,0.3,-89.2,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"48803",367128950,"2019-01-01T00:09:33",18.45032,-66.10121,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"A"
"48989",367555530,"2019-01-01T00:08:50",18.05349,-65.8368,0.1,-66.2,511,"PRO ASSIST III","IMO8644395","WDG5696",31,5,33,8,NA,NA,"A"
"49198",377911000,"2019-01-01T00:09:36",17.91207,-65.73754,11.8,-155.1,246,"TROPIC PALM","IMO7625964","J8PB",70,0,100,21,4.7,70,"B"
"49241",367307990,"2019-01-01T00:09:37",17.98263,-65.78815,6.2,-186.6,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"49320",367396910,"2019-01-01T00:09:37",17.93682,-66.15597,0,-166,511,"ALEJANDRO","IMO7606633","WDE7729",31,5,34,10,3.7,52,"A"
"49469",338071607,"2019-01-01T00:09:41",18.46068,-66.09093,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"49764",563545000,"2019-01-01T00:09:42",18.52281,-66.13004,8.7,-57.3,344,"MINERVA","IMO9694426","9V3400",NA,0,188,NA,NA,NA,"B"
"50405",338109829,"2019-01-01T00:08:46",18.33943,-65.63142,0,-158.5,511,"EL ARQUERO","","",37,NA,14,NA,NA,NA,"B"
"50752",366995010,"2019-01-01T00:09:59",18.44775,-66.09109,0,-143.2,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"50911",366029970,"2019-01-01T00:09:53",18.46113,-66.09347,0,-95.9,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"51066",367515760,"2019-01-01T00:09:13",18.44812,-66.0894,0,-142.5,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"51533",367618240,"2019-01-01T00:09:46",18.20317,-65.60916,13.5,142.1,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"51600",230185000,"2019-01-01T00:10:08",18.44864,-66.08982,0,-90.2,213,"MIMER","IMO9002647","OIZX",70,5,108,17,6,71,"A"
"51689",671932000,"2019-01-01T00:09:20",18.46304,-66.10327,0.1,3.9,511,"NORMA H II","IMO7228716","5VFB9",70,5,51,11,3.6,70,"A"
"51838",338536000,"2019-01-01T00:09:24",18.33533,-65.63116,0,-146.3,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"52759",367744930,"2019-01-01T00:09:30",18.28864,-65.63338,0.1,163.6,511,"RESPIRE","","WDI9068",37,NA,NA,NA,NA,NA,"B"
"53061",367733250,"2019-01-01T00:09:39",18.46003,-66.08811,0,80,511,"LADY ABI II","","WDI7892",37,NA,NA,NA,NA,NA,"B"
"53216",636018640,"2019-01-01T00:09:38",18.42957,-66.10725,0.1,-126.5,195,"","","",NA,5,NA,NA,NA,NA,"A"
"53643",368001090,"2019-01-01T00:09:43",18.34339,-65.57052,0.2,-114.4,511,"AZULITA","","WDJ6876",36,NA,NA,NA,NA,NA,"B"
"54881",368025180,"2019-01-01T00:10:00",18.45988,-66.08803,0,78.9,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"54911",368237000,"2019-01-01T00:10:06",18.28281,-65.34189,15.4,71.2,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"54993",367592540,"2019-01-01T00:10:01",18.30786,-65.29024,0.1,149,511,"HADA","","WDG9920",37,NA,14,NA,NA,NA,"B"
"55406",338162314,"2019-01-01T00:10:08",18.34173,-65.63866,0,0,511,"TOMAHAWK","","",37,NA,18,NA,NA,NA,"B"
"55500",235084084,"2019-01-01T00:10:12",18.45909,-66.08996,0,66.9,511,"JOSEFINA","","MLCV5",36,NA,NA,NA,NA,NA,"B"
"55572",367781630,"2019-01-01T00:10:08",18.45021,-66.10076,0,47,135,"EL COQUI","IMO9721968","WDJ4838",70,5,219,NA,NA,NA,"A"
"55646",368028920,"2019-01-01T00:10:10",17.87793,-65.03573,8.9,151.4,152,"SKY","IMO0000000","WDJ9741",36,NA,18,4,NA,NA,"B"
"56192",368014910,"2019-01-01T00:10:18",17.937,-66.15603,0,-145.7,511,"","","",NA,5,NA,NA,NA,NA,"A"
"56211",366029970,"2019-01-01T00:11:11",18.46111,-66.09347,0,-92.1,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"56315",367015490,"2019-01-01T00:09:44",18.05358,-65.83674,0.1,-75.8,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"56322",338098422,"2019-01-01T00:10:20",18.28619,-65.63277,0,-144.1,511,"EMPTY POCKET","","",37,NA,NA,NA,NA,NA,"B"
"56326",367618240,"2019-01-01T00:11:11",18.20014,-65.60496,12.7,98.1,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"56481",319089300,"2019-01-01T00:10:24",18.45982,-66.09014,0,145.4,275,"HATT MILL","IMO9642112","ZGFG3",37,5,46,NA,NA,NA,"A"
"56616",367529160,"2019-01-01T00:09:48",18.44496,-66.09372,8.7,-142.4,511,"HANDY THREE","","WDG3740",31,0,21,NA,NA,52,"B"
"57043",367515760,"2019-01-01T00:10:23",18.44814,-66.08941,0,-143.3,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"57596",368008070,"2019-01-01T00:10:01",18.28738,-65.63243,0.2,-134.3,511,"SALT AIR","","WDJ7579",36,NA,NA,NA,NA,NA,"B"
"58373",563545000,"2019-01-01T00:10:43",18.52516,-66.13069,8.6,-65.6,338,"MINERVA","IMO9694426","9V3400",NA,0,188,NA,NA,NA,"B"
"58524",367128950,"2019-01-01T00:10:43",18.45031,-66.10121,0.1,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"58734",377911000,"2019-01-01T00:10:45",17.9111,-65.74138,11.8,-154.1,247,"TROPIC PALM","IMO7625964","J8PB",70,0,100,21,4.7,70,"B"
"58757",338760000,"2019-01-01T00:10:45",18.43524,-66.09498,0,-188.5,58,"ISLA BELLA","IMO9680841","WTOI",70,5,233,32,10.4,NA,"A"
"58842",338071607,"2019-01-01T00:10:51",18.46067,-66.09094,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"A"
"58934",367723910,"2019-01-01T00:10:52",18.289,-65.63447,0,128.6,511,"MARIMAR","","WDI6952",37,NA,NA,NA,NA,NA,"B"
"59091",366722810,"2019-01-01T00:10:49",18.45994,-66.08801,0,179.1,511,"VAYPE","","WCW7684",37,NA,15,4,NA,NA,"B"
"59201",246506000,"2019-01-01T00:10:54",18.46285,-66.11035,0,-56.5,353,"VEENDAM","IMO9102992","PHEO",60,5,219,30,7.7,69,"A"
"59324",367529160,"2019-01-01T00:10:57",18.44564,-66.09659,8.8,-120.3,511,"HANDY THREE","","WDG3740",31,0,21,NA,NA,52,"B"
"59381",367396880,"2019-01-01T00:11:00",17.9367,-66.15605,0,-49.6,511,"PROASSIST I","IMO8851041","WDE7727",31,5,33,10,NA,NA,"A"
"59462",367433610,"2019-01-01T00:10:58",18.28738,-65.63236,0.1,-150.9,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"59577",338536000,"2019-01-01T00:11:43",18.33532,-65.63116,0,-155,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"59934",368028920,"2019-01-01T00:11:11",17.87558,-65.03473,8.8,148.1,148,"SKY","IMO0000000","WDJ9741",36,NA,18,4,NA,NA,"B"
"60289",316015468,"2019-01-01T00:11:20",18.45861,-66.0913,0,-188.2,511,"GRONINGER","","CHA2001",36,NA,NA,NA,NA,NA,"B"
"60370",367649980,"2019-01-01T00:11:22",18.28743,-65.63308,0,-171.1,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"60416",367730640,"2019-01-01T00:11:24",18.28711,-65.63304,0.1,83.8,511,"STELLA","","WDI7637",37,NA,NA,NA,NA,NA,"B"
"60497",367515760,"2019-01-01T00:11:24",18.44815,-66.08941,0,-150.2,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"60738",338536000,"2019-01-01T00:10:35",18.33534,-65.63114,0,-149.3,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"60941",235115017,"2019-01-01T00:11:33",18.07868,-65.79699,0.2,93.1,511,"ZIGZAG DE VILLENEUVE","","2JDM3",36,NA,NA,NA,NA,NA,"B"
"60965",338238828,"2019-01-01T00:11:33",17.95494,-66.29217,0,-49.6,511,"SWEET KARMA","IMO0000000","",37,NA,13,4,NA,NA,"B"
"61562",367307990,"2019-01-01T00:10:47",17.98121,-65.78967,6.3,-186.6,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"A"
"61608",338138014,"2019-01-01T00:10:49",18.45951,-66.0882,0.1,59.2,511,"ANAMARINA","","",37,NA,19,NA,NA,NA,"B"
"63606",367529160,"2019-01-01T00:12:07",18.44669,-66.09933,8.7,-118.9,511,"HANDY THREE","","WDG3740",31,0,21,NA,NA,52,"B"
"63644",368237000,"2019-01-01T00:11:59",18.28551,-65.33372,15.3,71,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"63788",377911000,"2019-01-01T00:12:05",17.90995,-65.7458,11.7,-155.3,244,"TROPIC PALM","IMO7625964","J8PB",70,0,100,21,4.7,70,"B"
"63831",366995010,"2019-01-01T00:11:59",18.44774,-66.09109,0,-137.9,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"64160",563545000,"2019-01-01T00:12:11",18.52836,-66.13219,8.6,-78.5,325,"MINERVA","IMO9694426","9V3400",NA,0,188,NA,NA,NA,"B"
"64251",366029970,"2019-01-01T00:12:21",18.46112,-66.09345,0,-114,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"64518",367128950,"2019-01-01T00:11:53",18.4503,-66.10122,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"64670",338173000,"2019-01-01T00:11:44",18.22956,-65.61983,0,-117,511,"MR CADE","IMO9307774","WDH4027",60,5,49,9,1.9,NA,"A"
"65335",338109829,"2019-01-01T00:11:48",18.33944,-65.63139,0.1,-122,511,"EL ARQUERO","","",37,NA,14,NA,NA,NA,"B"
"65536",367555530,"2019-01-01T00:11:50",18.05349,-65.8368,0,-66.7,511,"PRO ASSIST III","IMO8644395","WDG5696",31,5,33,8,NA,NA,"A"
"65880",338071607,"2019-01-01T00:12:41",18.46068,-66.09095,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"66173",367774870,"2019-01-01T00:11:46",18.30296,-65.29844,0.3,30,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"66621",368008070,"2019-01-01T00:13:02",18.28738,-65.63244,0.1,-89.4,511,"SALT AIR","","WDJ7579",36,NA,NA,NA,NA,NA,"B"
"66640",367307990,"2019-01-01T00:11:58",17.9798,-65.79118,6.1,-181.9,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"67076",367781630,"2019-01-01T00:13:09",18.45016,-66.10078,0.2,47,134,"EL COQUI","IMO9721968","WDJ4838",70,5,219,NA,NA,NA,"A"
"67085",230185000,"2019-01-01T00:13:07",18.44863,-66.08979,0,-90.2,213,"MIMER","IMO9002647","OIZX",70,5,108,17,6,71,"A"
"67673",367307990,"2019-01-01T00:13:16",17.97827,-65.79282,5.7,-176.5,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"67923",366995010,"2019-01-01T00:13:08",18.44774,-66.0911,0.1,-123.9,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"68236",339758000,"2019-01-01T00:12:15",18.45892,-66.09023,0,-49.6,511,"","","",NA,5,NA,NA,NA,NA,"A"
"68404",367618240,"2019-01-01T00:12:17",18.2004,-65.60083,12.3,71.5,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"68725",671932000,"2019-01-01T00:12:21",18.46303,-66.10326,0.1,14.1,511,"NORMA H II","IMO7228716","5VFB9",70,5,51,11,3.6,70,"A"
"68840",368237000,"2019-01-01T00:13:24",18.28756,-65.32764,15.3,69.7,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"69120",377911000,"2019-01-01T00:13:36",17.90859,-65.75081,11.8,-154.9,246,"TROPIC PALM","IMO7625964","J8PB",70,0,100,21,4.7,70,"B"
"69150",367515760,"2019-01-01T00:12:33",18.44814,-66.0894,0,-144.6,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"69611",367733250,"2019-01-01T00:12:38",18.46002,-66.08808,0,80,511,"LADY ABI II","","WDI7892",37,NA,NA,NA,NA,NA,"B"
"69637",367396910,"2019-01-01T00:12:37",17.93685,-66.15604,0,-144.4,511,"ALEJANDRO","IMO7606633","WDE7729",31,5,34,10,3.7,52,"A"
"69693",367744930,"2019-01-01T00:12:31",18.28863,-65.63338,0.2,163.6,511,"RESPIRE","","WDI9068",37,NA,NA,NA,NA,NA,"B"
"69811",368028920,"2019-01-01T00:12:39",17.87219,-65.03325,8.8,159.2,155,"SKY","IMO0000000","WDJ9741",36,NA,18,4,NA,NA,"B"
"69991",338760000,"2019-01-01T00:13:39",18.43524,-66.09498,0,-188.5,58,"ISLA BELLA","IMO9680841","WTOI",70,5,233,32,10.4,NA,"A"
"70010",367015490,"2019-01-01T00:12:42",18.05357,-65.83673,0.1,6,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"70219",636018640,"2019-01-01T00:12:38",18.42962,-66.10727,0.1,-119.9,195,"","","",NA,5,NA,NA,NA,NA,"A"
"70297",367515760,"2019-01-01T00:14:13",18.44814,-66.0894,0,-156.3,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"70602",563545000,"2019-01-01T00:13:52",18.53162,-66.13468,8.6,-90,321,"MINERVA","IMO9694426","9V3400",NA,0,188,NA,NA,NA,"B"
"70640",338071607,"2019-01-01T00:13:42",18.46068,-66.09095,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"70800",367128950,"2019-01-01T00:13:53",18.45002,-66.10137,0.7,-189.7,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"70852",368001090,"2019-01-01T00:12:41",18.34337,-65.57051,0.1,-114.4,511,"AZULITA","","WDJ6876",36,NA,NA,NA,NA,NA,"B"
"71214",367775170,"2019-01-01T00:12:58",18.28787,-65.63559,0,88.7,511,"STRESS RELEASE","","WDJ4176",37,NA,NA,NA,NA,NA,"B"
"71643",367592540,"2019-01-01T00:13:02",18.3079,-65.29026,0.4,145.5,511,"HADA","","WDG9920",37,NA,14,NA,NA,NA,"B"
"71780",367618240,"2019-01-01T00:14:09",18.20252,-65.59421,11.8,58.3,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"72152",338162314,"2019-01-01T00:13:09",18.34173,-65.63868,0,0,511,"TOMAHAWK","","",37,NA,18,NA,NA,NA,"B"
"72378",235084084,"2019-01-01T00:13:12",18.45908,-66.08995,0,66.9,511,"JOSEFINA","","MLCV5",36,NA,NA,NA,NA,NA,"B"
"72477",368025180,"2019-01-01T00:13:01",18.4599,-66.08803,0,78.9,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"72716",368014910,"2019-01-01T00:13:14",17.93698,-66.15604,0,-149.7,511,"","","",NA,5,NA,NA,NA,NA,"A"
"72820",338536000,"2019-01-01T00:13:13",18.33531,-65.63115,0,-139.2,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"72900",367529160,"2019-01-01T00:13:18",18.44785,-66.10206,8.7,-111.7,511,"HANDY THREE","","WDG3740",31,0,21,NA,NA,52,"B"
"73197",338536000,"2019-01-01T00:14:23",18.33529,-65.63116,0,-144.1,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"73291",338098422,"2019-01-01T00:13:19",18.2862,-65.63278,0,-166.5,511,"EMPTY POCKET","","",37,NA,NA,NA,NA,NA,"B"
"73323",366029970,"2019-01-01T00:14:11",18.46111,-66.09346,0,-120.2,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"73625",367574560,"2019-01-01T00:13:27",18.28672,-65.63247,0.1,-159.1,511,"GABEA","","WDG8155",37,NA,20,NA,NA,NA,"B"
"74108",319089300,"2019-01-01T00:13:23",18.45982,-66.09014,0,96.2,276,"HATT MILL","IMO9642112","ZGFG3",37,5,46,NA,NA,NA,"A"
"74347",368237000,"2019-01-01T00:14:35",18.28955,-65.32264,15.6,65.2,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"74821",338142008,"2019-01-01T00:13:34",18.30407,-65.29638,0.2,157.6,511,"WHISKEY HOTEL","IMO0000000","WDG6156",37,NA,27,8,NA,NA,"B"
"75593",367723910,"2019-01-01T00:13:53",18.289,-65.63447,0,128.6,511,"MARIMAR","","WDI6952",37,NA,NA,NA,NA,NA,"B"
"76085",367433610,"2019-01-01T00:13:58",18.28739,-65.63233,0,-153.1,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"76500",246506000,"2019-01-01T00:13:54",18.46287,-66.11035,0,-56.5,353,"VEENDAM","IMO9102992","PHEO",60,5,219,30,7.7,69,"A"
"76627",366995010,"2019-01-01T00:14:48",18.44773,-66.09109,0.1,-113.9,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"76636",367128950,"2019-01-01T00:15:13",18.44998,-66.10155,0.5,-136.4,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"76700",368028920,"2019-01-01T00:13:41",17.86987,-65.03225,9.6,154.5,154,"SKY","IMO0000000","WDJ9741",36,NA,18,4,NA,NA,"B"
"77170",368020590,"2019-01-01T00:14:07",18.30515,-65.29882,0.2,143.6,511,"LULU","IMO0000000","WDJ8864",36,NA,16,5,NA,NA,"B"
"77606",366722810,"2019-01-01T00:13:47",18.45992,-66.08796,0,162.5,511,"VAYPE","","WCW7684",37,NA,15,4,NA,NA,"B"
"77627",367719070,"2019-01-01T00:14:10",18.2875,-65.63335,0,-60.9,511,"CHATEAU DU MER","","WDI6475",37,NA,NA,NA,NA,NA,"B"
"78009",367649980,"2019-01-01T00:14:21",18.28743,-65.6331,0.1,-185.1,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"78149",367730640,"2019-01-01T00:14:24",18.2871,-65.63303,0,83.8,511,"STELLA","","WDI7637",37,NA,NA,NA,NA,NA,"B"
"78568",316015468,"2019-01-01T00:14:17",18.45865,-66.09128,0.1,-188.2,511,"GRONINGER","","CHA2001",36,NA,NA,NA,NA,NA,"B"
"78622",367744930,"2019-01-01T00:15:38",18.28865,-65.63336,0,163.6,511,"RESPIRE","","WDI9068",37,NA,NA,NA,NA,NA,"B"
"78748",367529160,"2019-01-01T00:15:27",18.45109,-66.10612,8.6,-92.7,511,"HANDY THREE","","WDG3740",31,0,21,NA,NA,52,"B"
"79291",367515760,"2019-01-01T00:15:53",18.44818,-66.08933,0,-157.6,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"79586",366995010,"2019-01-01T00:15:59",18.44774,-66.09109,0.1,-110.8,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"79602",367307990,"2019-01-01T00:15:17",17.97593,-65.7954,6,-194.2,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"79605",368237000,"2019-01-01T00:15:59",18.29228,-65.31693,15.8,63,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"79784",338173000,"2019-01-01T00:14:42",18.22959,-65.61984,0,-128.4,511,"MR CADE","IMO9307774","WDH4027",60,5,49,9,1.9,NA,"A"
"79983",338109829,"2019-01-01T00:14:45",18.33944,-65.63138,0,-147,511,"EL ARQUERO","","",37,NA,14,NA,NA,NA,"B"
"80232",377911000,"2019-01-01T00:14:46",17.90757,-65.75462,11.9,-155.1,247,"TROPIC PALM","IMO7625964","J8PB",70,0,100,21,4.7,70,"B"
"80251",563545000,"2019-01-01T00:16:02",18.53545,-66.13844,8.7,-96.8,313,"MINERVA","IMO9694426","9V3400",NA,0,188,NA,NA,NA,"B"
"80299",368025180,"2019-01-01T00:16:01",18.45989,-66.08804,0,78.9,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"80361",366029970,"2019-01-01T00:16:01",18.46111,-66.09343,0,-192,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"80504",377911000,"2019-01-01T00:16:05",17.90632,-65.75901,11.7,-156.8,243,"TROPIC PALM","IMO7625964","J8PB",70,0,100,21,4.7,70,"B"
"80600",338071607,"2019-01-01T00:16:12",18.46068,-66.09095,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"80660",367774870,"2019-01-01T00:14:45",18.3029,-65.29842,0.2,152.7,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
